"","GEOID","NAME","total_popE","total_popM","incomeE","incomeM","whiteE","whiteM","blackE","blackM","nativeE","nativeM","asianE","asianM","PIE","PIM","HispE","HispM","summary_est","summary_moe","geometry","Wpercent","Bpercent","Npercent","Apercent","PIpercent","Hpercent"
"1","31109001200","Census Tract 12; Lancaster County; Nebraska",6593,1118,78947,9466,5704,1115,104,99,0,15,205,161,0,15,206,133,6593,1118,list(c(-96.641082, -96.635267, -96.634209, -96.633122, -96.630457, -96.630448, -96.624992, -96.621295, -96.615457, -96.605949, -96.606034, -96.606088, -96.616076, -96.625146, -96.630545, -96.641825, -96.641082, 40.816622, 40.820657, 40.821327, 40.824411, 40.827, 40.827933, 40.827898, 40.827921, 40.827958, 40.828009, 40.820713, 40.813496, 40.813442, 40.813393, 40.813421, 40.813475, 40.816622)),86.5160018201122,1.57743060822084,0,3.10935841043531,0,3.12452601243743
"2","31109002300","Census Tract 23; Lancaster County; Nebraska",5412,749,66995,10460,4337,599,75,120,26,34,187,151,26,46,480,334,5412,749,list(c(-96.696745, -96.696654, -96.692364, -96.691778, -96.689279, -96.682491, -96.682352, -96.677802, -96.67661, -96.676847, -96.674492, -96.67414, -96.682402, -96.682537, -96.687224, -96.687262, -96.687396, -96.687403, -96.691667, -96.692058, -96.696827, -96.696745, 40.791757, 40.799135, 40.79913, 40.798989, 40.798962, 40.798943, 40.798943, 40.79898, 40.798853, 40.796601, 40.795296, 40.791673, 40.791686, 40.791716, 40.79173, 40.788069, 40.785349, 40.784443, 40.784455, 40.784456, 40.78447, 40.791757
)),80.1367331855137,1.38580931263858,0.480413895048041,3.45528455284553,0.480413895048041,8.86917960088692
"3","31109003801","Census Tract 38.01; Lancaster County; Nebraska",4696,497,79347,12180,4251,529,34,53,37,47,37,30,0,10,163,138,4696,497,list(c(-96.625139, -96.62514, -96.615492, -96.606101, -96.606066, -96.606066, -96.605666, -96.606008, -96.61193, -96.618633, -96.624995, -96.62515, -96.625139, 40.791551, 40.798779, 40.799006, 40.798831, 40.791509, 40.791291, 40.784231, 40.784233, 40.78425, 40.784268, 40.784285, 40.784285, 40.791551)),90.5238500851789,0.724020442930153,0.787904599659284,0.787904599659284,0,3.47103918228279
"4","31109003802","Census Tract 38.02; Lancaster County; Nebraska",3297,477,89451,6592,2983,494,46,77,43,55,0,10,0,10,138,88,3297,477,list(c(-96.625146, -96.616076, -96.606088, -96.605931, -96.606101, -96.615492, -96.62514, -96.625206, -96.625146, 40.813393, 40.813442, 40.813496, 40.808122, 40.798831, 40.799006, 40.798779, 40.806093, 40.813393)),90.4761904761905,1.39520776463452,1.30421595389748,0,0,4.18562329390355
"5","31109000201","Census Tract 2.01; Lancaster County; Nebraska",4597,497,67587,9261,3975,514,74,118,0,10,41,68,0,10,204,215,4597,497,list(c(-96.644132, -96.644131, -96.644128, -96.644122, -96.644122, -96.639914, -96.635802, -96.634426, -96.631716, -96.630416, -96.624872, -96.624873, -96.624873, -96.624912, -96.630396, -96.630432, -96.644134, -96.644132, 40.84128, 40.842564, 40.8462, 40.851266, 40.851489, 40.851762, 40.851762, 40.851762, 40.853847, 40.851761, 40.85176, 40.851498, 40.851267, 40.842452, 40.842493, 40.835202, 40.835286, 40.84128)),86.4694365890798,1.60974548618664,0,0.891886012616924,0,4.43767674570372
"6","31109000800","Census Tract 8; Lancaster County; Nebraska",3882,589,49280,7689,1999,518,610,313,6,11,343,248,8,31,750,241,3882,589,list(c(-96.682396, -96.682391, -96.68239, -96.682376, -96.682335, -96.678419, -96.677705, -96.672851, -96.670208, -96.670203, -96.668881, -96.668872, -96.670192, -96.669481, -96.672782, -96.680277, -96.682406, -96.682396, 40.815759, 40.816861, 40.817094, 40.820704, 40.823517, 40.823451, 40.823472, 40.823034, 40.823109, 40.820786, 40.820789, 40.815531, 40.814515, 40.813542, 40.813537, 40.813528, 40.813583, 40.815759)),51.4940752189593,15.7135497166409,0.154559505409583,8.83565172591448,0.20607934054611,19.3199381761978
"7","31109003601","Census Tract 36.01; Lancaster County; Nebraska",1166,83,NA,NA,553,89,369,75,20,17,5,10,0,10,149,44,1166,83,list(c(-96.7048, -96.704557, -96.704968, -96.703841, -96.701542, -96.701491, -96.707247, -96.7048, 40.771888, 40.772684, 40.774468, 40.773178, 40.771511, 40.767671, 40.768389, 40.771888)),47.4271012006861,31.6466552315609,1.71526586620926,0.428816466552316,0,12.778730703259
"8","31109001003","Census Tract 10.03; Lancaster County; Nebraska",3995,514,62594,9442,3024,574,133,188,12,16,453,229,0,10,111,91,3995,514,list(c(-96.653725, -96.644136, -96.643933, -96.630448, -96.630457, -96.633122, -96.634209, -96.635267, -96.644145, -96.646534, -96.653663, -96.653663, -96.653725, 40.827957, 40.828019, 40.828018, 40.827933, 40.827, 40.824411, 40.821327, 40.820657, 40.820707, 40.820711, 40.820699, 40.820804, 40.827957)),75.6946182728411,3.32916145181477,0.300375469336671,11.3391739674593,0,2.77847309136421
"9","31109003607","Census Tract 36.07; Lancaster County; Nebraska",4772,473,93750,15928,3605,476,186,158,0,10,562,224,0,10,222,125,4772,473,list(c(-96.701544, -96.690582, -96.688005, -96.687218, -96.682528, -96.682525, -96.682522, -96.682519, -96.697987, -96.698326, -96.701508, -96.701532, -96.701544, 40.738504, 40.738585, 40.739455, 40.73956, 40.739568, 40.734673, 40.730331, 40.726403, 40.726529, 40.726651, 40.728138, 40.733757, 40.738504)),75.544844928751,3.89773679798826,0,11.7770326906957,0,4.65213746856664
"10","31109003723","Census Tract 37.23; Lancaster County; Nebraska",4033,1054,103571,4714,3584,1056,54,63,13,16,92,97,0,10,159,150,4033,1054,list(c(-96.644347, -96.644346, -96.644371, -96.644226, -96.637154, -96.628785, -96.625272, -96.625272, -96.625279, -96.625284, -96.625292, -96.639403, -96.640513, -96.644251, -96.644385, -96.644347, 40.762936, 40.766113, 40.769725, 40.76974, 40.769711, 40.769746, 40.769693, 40.769612, 40.761234, 40.758792, 40.755264, 40.755144, 40.754436, 40.75632, 40.756362, 40.762936)),88.866848499876,1.33895363253161,0.322340689313166,2.28118026283164,0,3.94247458467642
"11","31109001101","Census Tract 11.01; Lancaster County; Nebraska",4619,410,95601,14434,3838,397,28,32,0,10,0,10,0,10,571,246,4619,410,list(c(-96.630396, -96.624912, -96.624873, -96.624873, -96.61889, -96.605793, -96.605912, -96.605933, -96.619012, -96.620719, -96.630384, -96.630432, -96.630396, 40.842493, 40.842452, 40.851267, 40.851498, 40.8514, 40.851578, 40.8426, 40.835308, 40.835212, 40.8352, 40.835202, 40.835202, 40.842493)),83.0915782636934,0.606191816410478,0,0,0,12.361983113228
"12","31109002002","Census Tract 20.02; Lancaster County; Nebraska",2843,408,33517,4282,1635,348,285,184,0,10,34,39,0,10,729,266,2843,408,list(c(-96.708541, -96.708514, -96.708502, -96.707024, -96.702627, -96.702565, -96.702589, -96.702604, -96.702635, -96.7071, -96.708581, -96.708541, 40.803666, 40.806956, 40.809212, 40.809208, 40.809198, 40.809198, 40.805846, 40.803646, 40.799198, 40.799214, 40.79922, 40.803666)),57.5096728807598,10.0246218782976,0,1.19591980302497,0,25.6419275413296
"13","31109002001","Census Tract 20.01; Lancaster County; Nebraska",2467,301,32721,6304,1460,251,162,76,14,18,88,75,0,10,641,232,2467,301,list(c(-96.702604, -96.702589, -96.702565, -96.696769, -96.696788, -96.696805, -96.69684, -96.701399, -96.702635, -96.702604, 40.803646, 40.805846, 40.809198, 40.809176, 40.805821, 40.803629, 40.799179, 40.799194, 40.799198, 40.803646)),59.1811917308472,6.56668017835428,0.567490879610863,3.56708552898257,0,25.9829752736117
